Num	Ref			Cite
 1	White&Ghez            	2001ApJ...556..265W
 2	Kraus&Hillenbrand     	2012ApJ...757..141K
 3	Correia et al.          	2006A&A...459..909C
 4	Kraus&Hillenbrand     	2009ApJ...703.1511K
 5	Kraus et al.            	2011ApJ...731....8K
 6	Kraus&Hillenbrand     	2007ApJ...662..413K
 7	Akeson et al.           	2019ApJ...872..158A
 8	Andrews et al.          	2013ApJ...771..129A
 9	Akeson&Jensen         	2014ApJ...784...62A
10	Hardy et al.            	2015A&A...583A..66H
11	Ward-Duong et al.       	2018AJ....155...54W
12	Furlan et al.           	2011ApJS..195....3F
13	Luhman                  	2004ApJ...617.1216L
14	Herczeg&Hillenbrand   	2014ApJ...786...97H
15	Briceno et al.          	1998AJ....115.2074B
16	Hartigan&Kenyon       	2003ApJ...583..334H
17	Luhman                  	2006ApJ...645..676L
18	Luhman et al.           	2003ApJ...590..348L
19	Briceno et al.          	2002ApJ...580..317B
20	Hartigan, Strom,&Strom	1994ApJ...427..961H
22	Canty et al.            	2013MNRAS.435.2650C
23	Cieza et al.            	2012ApJ...750..157C
24	Luhman et al.           	2006ApJ...647.1180L
25	Luhman et al.           	2009ApJ...691.1265L
26	Beck                    	2007AJ....133.1673B
27	Espaillat et al.        	2010ApJ...717..441E
28	Duchene et al.          	1999A&A...351..954D
29	Monin, Menard,&Duchene	1998A&A...339..113M
30	White&Hillenbrand     	2004ApJ...616..998W
31	White et al.            	1999ApJ...520..811W
32	Prato et al.            	2002ApJ...579L..99P
33	Schaefer et al.         	2012ApJ...756..120S
34	Walter et al.           	2003AJ....125.2123W
35	Luhman et al.           	2009ApJ...703..399L
36	Luhman et al.           	2010ApJS..186..111L
37	Slesnick et al.         	2006AJ....132.2665S
38	Esplin&Luhman         	2019AJ....158...54E
39	Martin                  	2000AJ....120.2114M
40	Kenyon et al.           	1998AJ....115.2491K
41	Mathieu et al.          	1997AJ....113.1841M
42	Dahm&Lyke             	2011PASP..123.1383D
43	Kenyon&Hartmann       	1995ApJS..101..117K

